,st_cty_code,county,state,cases
188,5149,Yell County,AR,0
189,5999,Arkansas,AR,0
190,6001,Alameda County,CA,2
191,6003,Alpine County,CA,0
192,6005,Amador County,CA,0
193,6007,Butte County,CA,0
194,6009,Calaveras County,CA,0
195,6011,Colusa County,CA,0
196,6013,Contra Costa County,CA,9
197,6015,Del Norte County,CA,0
198,6017,El Dorado County,CA,0
199,6019,Fresno County,CA,1
200,6021,Glenn County,CA,0
201,6023,Humboldt County,CA,1
202,6025,Imperial County,CA,0
203,6027,Inyo County,CA,0
204,6029,Kern County,CA,0
205,6031,Kings County,CA,0
206,6033,Lake County,CA,1
207,6035,Lassen County,CA,0
208,6037,Los Angeles County,CA,4
209,6039,Madera County,CA,0
210,6041,Marin County,CA,2
211,6043,Mariposa County,CA,0
212,6045,Mendocino County,CA,0
213,6047,Merced County,CA,0
214,6049,Modoc County,CA,0
215,6051,Mono County,CA,0
216,6053,Monterey County,CA,0
217,6055,Napa County,CA,2
218,6057,Nevada County,CA,1
219,6059,Orange County,CA,0
220,6061,Placer County,CA,0
221,6063,Plumas County,CA,0
222,6065,Riverside County,CA,5
223,6067,Sacramento County,CA,3
224,6069,San Benito County,CA,0
225,6071,San Bernardino County,CA,1
226,6073,San Diego County,CA,7
227,6075,San Francisco County,CA,16
228,6077,San Joaquin County,CA,1
229,6079,San Luis Obispo County,CA,2
230,6081,San Mateo County,CA,0
231,6083,Santa Barbara County,CA,5
232,6085,Santa Clara County,CA,7
233,6087,Santa Cruz County,CA,9
234,6089,Shasta County,CA,0
235,6091,Sierra County,CA,1
236,6093,Siskiyou County,CA,1
237,6095,Solano County,CA,2
238,6097,Sonoma County,CA,11
239,6099,Stanislaus County,CA,6
240,6101,Sutter County,CA,0
241,6103,Tehama County,CA,0
242,6105,Trinity County,CA,0
243,6107,Tulare County,CA,0
244,6109,Tuolumne County,CA,0
245,6111,Ventura County,CA,3
246,6113,Yolo County,CA,1
247,6115,Yuba County,CA,0
248,6999,California,CA,0
249,8001,Adams County,CO,1
250,8003,Alamosa County,CO,0
251,8005,Arapahoe County,CO,1
252,8007,Archuleta County,CO,0
253,8009,Baca County,CO,0
254,8011,Bent County,CO,0
255,8013,Boulder County,CO,0
256,8014,Broomfield County,CO,0
257,8015,Chaffee County,CO,0
258,8017,Cheyenne County,CO,0
259,8019,Clear Creek County,CO,0
260,8021,Conejos County,CO,0
261,8023,Costilla County,CO,0
262,8025,Crowley County,CO,0
263,8027,Custer County,CO,0
264,8029,Delta County,CO,0
265,8031,Denver County,CO,0
266,8033,Dolores County,CO,0
267,8035,Douglas County,CO,0
268,8037,Eagle County,CO,0
269,8039,Elbert County,CO,0
270,8041,El Paso County,CO,0
271,8043,Fremont County,CO,0
272,8045,Garfield County,CO,0
273,8047,Gilpin County,CO,0
274,8049,Grand County,CO,0
275,8051,Gunnison County,CO,0
276,8053,Hinsdale County,CO,0
277,8055,Huerfano County,CO,0
278,8057,Jackson County,CO,0
279,8059,Jefferson County,CO,1
280,8061,Kiowa County,CO,0
281,8063,Kit Carson County,CO,0
282,8065,Lake County,CO,0
283,8067,La Plata County,CO,0
284,8069,Larimer County,CO,0
285,8071,Las Animas County,CO,0
286,8073,Lincoln County,CO,0
287,8075,Logan County,CO,0
288,8077,Mesa County,CO,0
289,8079,Mineral County,CO,0
290,8081,Moffat County,CO,0
291,8083,Montezuma County,CO,0
292,8085,Montrose County,CO,0
293,8087,Morgan County,CO,0
294,8089,Otero County,CO,0
295,8091,Ouray County,CO,0
296,8093,Park County,CO,0
297,8095,Phillips County,CO,0
298,8097,Pitkin County,CO,0
299,8099,Prowers County,CO,0
300,8101,Pueblo County,CO,0
301,8103,Rio Blanco County,CO,0
302,8105,Rio Grande County,CO,0
303,8107,Routt County,CO,0
304,8109,Saguache County,CO,0
305,8111,San Juan County,CO,0
306,8113,San Miguel County,CO,0
307,8115,Sedgwick County,CO,0
308,8117,Summit County,CO,0
309,8119,Teller County,CO,0
310,8121,Washington County,CO,0
311,8123,Weld County,CO,0
312,8125,Yuma County,CO,0
313,8999,Colorado,CO,0
314,9001,Fairfield County,CT,289
315,9003,Hartford County,CT,217
316,9005,Litchfield County,CT,130
317,9007,Middlesex County,CT,200
318,9009,New Haven County,CT,333
319,9011,New London County,CT,387
320,9013,Tolland County,CT,138
321,9015,Windham County,CT,149
322,9999,Connecticut,CT,16
323,1001,Kent County,DE,75
324,1003,New Castle County,DE,285
325,1005,Sussex County,DE,127
326,10999,Delaware,DE,33
327,1101,District of Columbia,District of Columbia,79
328,1201,Alachua County,FL,0
329,1203,Baker County,FL,0
330,1205,Bay County,FL,0
331,1207,Bradford County,FL,0
332,1209,Brevard County,FL,9
333,1211,Broward County,FL,5
334,1213,Calhoun County,FL,0
335,1215,Charlotte County,FL,0
336,1217,Citrus County,FL,2
337,1219,Clay County,FL,0
338,1221,Collier County,FL,6
339,1223,Columbia County,FL,0
340,1227,DeSoto County,FL,0
341,1229,Dixie County,FL,0
342,1231,Duval County,FL,5
343,1233,Escambia County,FL,1
344,1235,Flagler County,FL,1
345,1237,Franklin County,FL,0
346,1239,Gadsden County,FL,1
347,1241,Gilchrist County,FL,0
348,1243,Glades County,FL,0
349,1245,Gulf County,FL,0
350,1247,Hamilton County,FL,0
351,1249,Hardee County,FL,0
352,1251,Hendry County,FL,0
353,1253,Hernando County,FL,0
354,1255,Highlands County,FL,0
355,1257,Hillsborough County,FL,7
356,1259,Holmes County,FL,0
357,1261,Indian River County,FL,2
358,1263,Jackson County,FL,0
359,1265,Jefferson County,FL,0
360,1267,Lafayette County,FL,0
361,1269,Lake County,FL,6
362,1271,Lee County,FL,11
363,1273,Leon County,FL,1
364,1275,Levy County,FL,0
365,1277,Liberty County,FL,0
366,1279,Madison County,FL,0
367,1281,Manatee County,FL,4
368,1283,Marion County,FL,7
369,1285,Martin County,FL,3
370,1286,Miami-Dade County,FL,8
371,1287,Monroe County,FL,1
372,1289,Nassau County,FL,3
373,1291,Okaloosa County,FL,6
374,1293,Okeechobee County,FL,2
375,1295,Orange County,FL,5
376,1297,Osceola County,FL,6
377,1299,Palm Beach County,FL,15
378,12101,Pasco County,FL,5
379,12103,Pinellas County,FL,12
380,12105,Polk County,FL,4
381,12107,Putnam County,FL,0
382,12109,St. Johns County,FL,9
383,12111,St. Lucie County,FL,3
384,12113,Santa Rosa County,FL,2
385,12115,Sarasota County,FL,7
386,12117,Seminole County,FL,3
387,12119,Sumter County,FL,2
388,12121,Suwannee County,FL,1
389,12123,Taylor County,FL,0
390,12125,Union County,FL,0
391,12127,Volusia County,FL,4
392,12129,Wakulla County,FL,0
393,12131,Walton County,FL,0
394,12133,Washington County,FL,0
395,12999,Florida,FL,0
396,1301,Appling County,GA,0
397,1303,Atkinson County,GA,0
398,1305,Bacon County,GA,0
399,1307,Baker County,GA,0
400,1309,Baldwin County,GA,0
401,1311,Banks County,GA,0
402,1313,Barrow County,GA,0
403,1315,Bartow County,GA,0
404,1317,Ben Hill County,GA,0
405,1319,Berrien County,GA,0
406,1321,Bibb County,GA,0
407,1323,Bleckley County,GA,0
408,1325,Brantley County,GA,0
409,1327,Brooks County,GA,0
410,1329,Bryan County,GA,0
411,1331,Bulloch County,GA,0
412,1333,Burke County,GA,0
413,1335,Butts County,GA,0
414,1337,Calhoun County,GA,0
415,1339,Camden County,GA,0
416,1343,Candler County,GA,0
417,1345,Carroll County,GA,0
418,1347,Catoosa County,GA,0
419,1349,Charlton County,GA,0
420,1351,Chatham County,GA,1
421,1353,Chattahoochee County,GA,0
422,1355,Chattooga County,GA,0
423,1357,Cherokee County,GA,1
424,1359,Clarke County,GA,0
425,1361,Clay County,GA,0
426,1363,Clayton County,GA,0
427,1365,Clinch County,GA,0
428,1367,Cobb County,GA,4
429,1369,Coffee County,GA,0
430,1371,Colquitt County,GA,0
431,1373,Columbia County,GA,0
432,1375,Cook County,GA,0
433,1377,Coweta County,GA,0
434,1379,Crawford County,GA,0
435,1381,Crisp County,GA,0
436,1383,Dade County,GA,0
437,1385,Dawson County,GA,0
438,1387,Decatur County,GA,0
439,1389,DeKalb County,GA,0
440,1391,Dodge County,GA,0
441,1393,Dooly County,GA,0
442,1395,Dougherty County,GA,0
443,1397,Douglas County,GA,0
444,1399,Early County,GA,0
445,13101,Echols County,GA,0
446,13103,Effingham County,GA,0
447,13105,Elbert County,GA,0
448,13107,Emanuel County,GA,0
449,13109,Evans County,GA,0
450,13111,Fannin County,GA,0
451,13113,Fayette County,GA,0
452,13115,Floyd County,GA,0
