,st_cty_code,county,state,cases
858,19111,Lee County,IA,4
859,19113,Linn County,IA,47
860,19115,Louisa County,IA,0
861,19117,Lucas County,IA,0
862,19119,Lyon County,IA,0
863,19121,Madison County,IA,0
864,19123,Mahaska County,IA,1
865,19125,Marion County,IA,2
866,19127,Marshall County,IA,2
867,19129,Mills County,IA,0
868,19131,Mitchell County,IA,0
869,19133,Monona County,IA,0
870,19135,Monroe County,IA,2
871,19137,Montgomery County,IA,0
872,19139,Muscatine County,IA,7
873,19141,O'Brien County,IA,0
874,19143,Osceola County,IA,0
875,19145,Page County,IA,0
876,19147,Palo Alto County,IA,0
877,19149,Plymouth County,IA,1
878,19151,Pocahontas County,IA,0
879,19153,Polk County,IA,11
880,19155,Pottawattamie County,IA,2
881,19157,Poweshiek County,IA,1
882,19159,Ringgold County,IA,0
883,19161,Sac County,IA,0
884,19163,Scott County,IA,11
885,19165,Shelby County,IA,1
886,19167,Sioux County,IA,0
887,19169,Story County,IA,1
888,19171,Tama County,IA,2
889,19173,Taylor County,IA,0
890,19175,Union County,IA,0
891,19177,Van Buren County,IA,0
892,19179,Wapello County,IA,1
893,19181,Warren County,IA,2
894,19183,Washington County,IA,3
895,19185,Wayne County,IA,0
896,19187,Webster County,IA,5
897,19189,Winnebago County,IA,0
898,19191,Winneshiek County,IA,9
899,19193,Woodbury County,IA,1
900,19195,Worth County,IA,0
901,19197,Wright County,IA,0
902,19999,Iowa,IA,0
903,2001,Allen County,KS,2
904,2003,Anderson County,KS,0
905,2005,Atchison County,KS,0
906,2007,Barber County,KS,1
907,2009,Barton County,KS,0
908,2011,Bourbon County,KS,1
909,2013,Brown County,KS,0
910,2015,Butler County,KS,0
911,2017,Chase County,KS,0
912,2019,Chautauqua County,KS,0
913,2021,Cherokee County,KS,1
914,2023,Cheyenne County,KS,0
915,2025,Clark County,KS,0
916,2027,Clay County,KS,0
917,2029,Cloud County,KS,0
918,2031,Coffey County,KS,0
919,2033,Comanche County,KS,0
920,2035,Cowley County,KS,1
921,2037,Crawford County,KS,2
922,2039,Decatur County,KS,0
923,2041,Dickinson County,KS,0
924,2043,Doniphan County,KS,0
925,2045,Douglas County,KS,2
926,2047,Edwards County,KS,0
927,2049,Elk County,KS,0
928,2051,Ellis County,KS,0
929,2053,Ellsworth County,KS,0
930,2055,Finney County,KS,0
931,2057,Ford County,KS,1
932,2059,Franklin County,KS,0
933,2061,Geary County,KS,1
934,2063,Gove County,KS,0
935,2065,Graham County,KS,0
936,2067,Grant County,KS,0
937,2069,Gray County,KS,1
938,2071,Greeley County,KS,0
939,2073,Greenwood County,KS,0
940,2075,Hamilton County,KS,0
941,2077,Harper County,KS,0
942,2079,Harvey County,KS,0
943,2081,Haskell County,KS,0
944,2083,Hodgeman County,KS,0
945,2085,Jackson County,KS,1
946,2087,Jefferson County,KS,1
947,2089,Jewell County,KS,0
948,2091,Johnson County,KS,6
949,2093,Kearny County,KS,0
950,2095,Kingman County,KS,0
951,2097,Kiowa County,KS,0
952,2099,Labette County,KS,1
953,20101,Lane County,KS,0
954,20103,Leavenworth County,KS,1
955,20105,Lincoln County,KS,0
956,20107,Linn County,KS,0
957,20109,Logan County,KS,0
958,20111,Lyon County,KS,0
959,20113,McPherson County,KS,0
960,20115,Marion County,KS,0
961,20117,Marshall County,KS,0
962,20119,Meade County,KS,0
963,20121,Miami County,KS,0
964,20123,Mitchell County,KS,0
965,20125,Montgomery County,KS,0
966,20127,Morris County,KS,0
967,20129,Morton County,KS,0
968,20131,Nemaha County,KS,0
969,20133,Neosho County,KS,1
970,20135,Ness County,KS,0
971,20137,Norton County,KS,0
972,20139,Osage County,KS,0
973,20141,Osborne County,KS,1
974,20143,Ottawa County,KS,0
975,20145,Pawnee County,KS,0
976,20147,Phillips County,KS,0
977,20149,Pottawatomie County,KS,0
978,20151,Pratt County,KS,1
979,20153,Rawlins County,KS,0
980,20155,Reno County,KS,0
981,20157,Republic County,KS,0
982,20159,Rice County,KS,0
983,20161,Riley County,KS,0
984,20163,Rooks County,KS,0
985,20165,Rush County,KS,0
986,20167,Russell County,KS,0
987,20169,Saline County,KS,0
988,20171,Scott County,KS,0
989,20173,Sedgwick County,KS,1
990,20175,Seward County,KS,0
991,20177,Shawnee County,KS,3
992,20179,Sheridan County,KS,0
993,20181,Sherman County,KS,0
994,20183,Smith County,KS,0
995,20185,Stafford County,KS,0
996,20187,Stanton County,KS,0
997,20189,Stevens County,KS,0
998,20191,Sumner County,KS,0
999,20193,Thomas County,KS,0
1000,20195,Trego County,KS,0
1001,20197,Wabaunsee County,KS,0
1002,20199,Wallace County,KS,0
1003,20201,Washington County,KS,0
1004,20203,Wichita County,KS,0
1005,20205,Wilson County,KS,0
1006,20207,Woodson County,KS,0
1007,20209,Wyandotte County,KS,0
1008,20999,Kansas,KS,0
1009,2101,Adair County,KY,1
1010,2103,Allen County,KY,0
1011,2105,Anderson County,KY,0
1012,2107,Ballard County,KY,0
1013,2109,Barren County,KY,0
1014,2111,Bath County,KY,0
1015,2113,Bell County,KY,0
1016,2115,Boone County,KY,1
1017,2117,Bourbon County,KY,0
1018,2119,Boyd County,KY,0
1019,2121,Boyle County,KY,0
1020,2123,Bracken County,KY,0
1021,2125,Breathitt County,KY,0
1022,2127,Breckinridge County,KY,0
1023,2129,Bullitt County,KY,0
1024,2131,Butler County,KY,0
1025,2133,Caldwell County,KY,0
1026,2135,Calloway County,KY,0
1027,2137,Campbell County,KY,0
1028,2139,Carlisle County,KY,0
1029,2141,Carroll County,KY,0
1030,2143,Carter County,KY,0
1031,2145,Casey County,KY,0
1032,2147,Christian County,KY,0
1033,2149,Clark County,KY,0
1034,2151,Clay County,KY,0
1035,2153,Clinton County,KY,0
1036,2155,Crittenden County,KY,0
1037,2157,Cumberland County,KY,0
1038,2159,Daviess County,KY,0
1039,2161,Edmonson County,KY,0
1040,2163,Elliott County,KY,0
1041,2165,Estill County,KY,0
1042,2167,Fayette County,KY,0
1043,2169,Fleming County,KY,0
1044,2171,Floyd County,KY,0
1045,2173,Franklin County,KY,0
1046,2175,Fulton County,KY,0
1047,2177,Gallatin County,KY,0
1048,2179,Garrard County,KY,0
1049,2181,Grant County,KY,0
1050,2183,Graves County,KY,0
1051,2185,Grayson County,KY,0
1052,2187,Green County,KY,1
1053,2189,Greenup County,KY,1
1054,2191,Hancock County,KY,0
1055,2193,Hardin County,KY,0
1056,2195,Harlan County,KY,0
1057,2197,Harrison County,KY,0
1058,2199,Hart County,KY,0
1059,21101,Henderson County,KY,0
1060,21103,Henry County,KY,1
1061,21105,Hickman County,KY,0
1062,21107,Hopkins County,KY,0
1063,21109,Jackson County,KY,0
1064,21111,Jefferson County,KY,1
1065,21113,Jessamine County,KY,0
1066,21115,Johnson County,KY,0
1067,21117,Kenton County,KY,3
1068,21119,Knott County,KY,0
1069,21121,Knox County,KY,0
1070,21123,Larue County,KY,0
1071,21125,Laurel County,KY,0
1072,21127,Lawrence County,KY,0
1073,21129,Lee County,KY,0
1074,21131,Leslie County,KY,0
1075,21133,Letcher County,KY,0
1076,21135,Lewis County,KY,0
1077,21137,Lincoln County,KY,0
1078,21139,Livingston County,KY,0
1079,21141,Logan County,KY,0
1080,21143,Lyon County,KY,0
1081,21145,McCracken County,KY,0
1082,21147,McCreary County,KY,0
1083,21149,McLean County,KY,0
1084,21151,Madison County,KY,0
1085,21153,Magoffin County,KY,0
1086,21155,Marion County,KY,0
1087,21157,Marshall County,KY,0
1088,21159,Martin County,KY,0
1089,21161,Mason County,KY,0
1090,21163,Meade County,KY,0
1091,21165,Menifee County,KY,0
1092,21167,Mercer County,KY,0
1093,21169,Metcalfe County,KY,0
1094,21171,Monroe County,KY,0
1095,21173,Montgomery County,KY,0
1096,21175,Morgan County,KY,0
1097,21177,Muhlenberg County,KY,0
1098,21179,Nelson County,KY,0
1099,21181,Nicholas County,KY,0
1100,21183,Ohio County,KY,0
1101,21185,Oldham County,KY,0
1102,21187,Owen County,KY,0
1103,21189,Owsley County,KY,0
1104,21191,Pendleton County,KY,1
1105,21193,Perry County,KY,0
1106,21195,Pike County,KY,0
1107,21197,Powell County,KY,0
1108,21199,Pulaski County,KY,0
1109,21201,Robertson County,KY,0
1110,21203,Rockcastle County,KY,0
1111,21205,Rowan County,KY,0
1112,21207,Russell County,KY,0
1113,21209,Scott County,KY,0
1114,21211,Shelby County,KY,0
1115,21213,Simpson County,KY,0
1116,21215,Spencer County,KY,0
1117,21217,Taylor County,KY,0
1118,21219,Todd County,KY,0
1119,21221,Trigg County,KY,0
1120,21223,Trimble County,KY,0
1121,21225,Union County,KY,0
1122,21227,Warren County,KY,1
1123,21229,Washington County,KY,0
1124,21231,Wayne County,KY,0
1125,21233,Webster County,KY,0
1126,21235,Whitley County,KY,0
1127,21237,Wolfe County,KY,0
1128,21239,Woodford County,KY,0
1129,21999,Kentucky,KY,11
1130,2201,Acadia Parish,LA,0
1131,2203,Allen Parish,LA,0
1132,2205,Ascension Parish,LA,0
1133,2207,Assumption Parish,LA,0
1134,2209,Avoyelles Parish,LA,0
1135,2211,Beauregard Parish,LA,0
1136,2213,Bienville Parish,LA,0
1137,2215,Bossier Parish,LA,0
1138,2217,Caddo Parish,LA,0
1139,2219,Calcasieu Parish,LA,0
1140,2221,Caldwell Parish,LA,0
1141,2223,Cameron Parish,LA,0
1142,2225,Catahoula Parish,LA,0
1143,2227,Claiborne Parish,LA,0
1144,2229,Concordia Parish,LA,0
1145,2231,De Soto Parish,LA,0
1146,2233,East Baton Rouge Parish,LA,1
1147,2235,East Carroll Parish,LA,0
1148,2237,East Feliciana Parish,LA,0
1149,2239,Evangeline Parish,LA,0
1150,2241,Franklin Parish,LA,0
1151,2243,Grant Parish,LA,0
1152,2245,Iberia Parish,LA,0
1153,2247,Iberville Parish,LA,0
1154,2249,Jackson Parish,LA,0
1155,2251,Jefferson Parish,LA,0
1156,2253,Jefferson Davis Parish,LA,0
1157,2255,Lafayette Parish,LA,0
1158,2257,Lafourche Parish,LA,1
1159,2259,LaSalle Parish,LA,0
1160,2261,Lincoln Parish,LA,0
1161,2263,Livingston Parish,LA,0
1162,2265,Madison Parish,LA,0
1163,2267,Morehouse Parish,LA,0
1164,2269,Natchitoches Parish,LA,0
1165,2271,Orleans Parish,LA,2
1166,2273,Ouachita Parish,LA,0
1167,2275,Plaquemines Parish,LA,0
1168,2277,Pointe Coupee Parish,LA,0
1169,2279,Rapides Parish,LA,0
1170,2281,Red River Parish,LA,0
1171,2283,Richland Parish,LA,0
1172,2285,Sabine Parish,LA,0
1173,2287,St. Bernard Parish,LA,0
1174,2289,St. Charles Parish,LA,0
1175,2291,St. Helena Parish,LA,0
1176,2293,St. James Parish,LA,0
1177,2295,St. John the Baptist Parish,LA,0
1178,2297,St. Landry Parish,LA,0
1179,2299,St. Martin Parish,LA,0
1180,22101,St. Mary Parish,LA,0
1181,22103,St. Tammany Parish,LA,0
1182,22105,Tangipahoa Parish,LA,0
1183,22107,Tensas Parish,LA,0
1184,22109,Terrebonne Parish,LA,0
1185,22111,Union Parish,LA,0
1186,22113,Vermilion Parish,LA,0
1187,22115,Vernon Parish,LA,0
1188,22117,Washington Parish,LA,0
1189,22119,Webster Parish,LA,0
1190,22121,West Baton Rouge Parish,LA,0
1191,22123,West Carroll Parish,LA,0
1192,22125,West Feliciana Parish,LA,0
1193,22127,Winn Parish,LA,0
1194,22999,Lousiana,LA,0
1195,2301,Androscoggin County,ME,68
1196,2303,Aroostook County,ME,4
1197,2305,Cumberland County,ME,284
1198,2307,Franklin County,ME,13
1199,2309,Hancock County,ME,174
1200,2311,Kennebec County,ME,181
1201,2313,Knox County,ME,104
1202,2315,Lincoln County,ME,62
1203,2317,Oxford County,ME,47
1204,2319,Penobscot County,ME,77
1205,2321,Piscataquis County,ME,2
1206,2323,Sagadahoc County,ME,47
1207,2325,Somerset County,ME,45
1208,2327,Waldo County,ME,78
1209,2329,Washington County,ME,15
1210,2331,York County,ME,201
1211,23999,Maine,ME,3
1212,2401,Allegany County,MD,85
1213,2403,Anne Arundel County,MD,90
1214,2405,Baltimore County,MD,176
1215,2409,Calvert County,MD,103
1216,2411,Caroline County,MD,4
1217,2413,Carroll County,MD,147
1218,2415,Cecil County,MD,65
1219,2417,Charles County,MD,8
1220,2419,Dorchester County,MD,0
1221,2421,Frederick County,MD,110
1222,2423,Garrett County,MD,14
1223,2425,Harford County,MD,156
1224,2427,Howard County,MD,107
1225,2429,Kent County,MD,9
1226,2431,Montgomery County,MD,135
1227,2433,Prince George's County,MD,16
1228,2435,Queen Anne's County,MD,30
1229,2437,St. Mary's County,MD,30
1230,2439,Somerset County,MD,5
1231,2441,Talbot County,MD,12
1232,2443,Washington County,MD,36
1233,2445,Wicomico County,MD,11
1234,2447,Worcester County,MD,4
1235,24510,Baltimore city,MD,29
1236,24999,Maryland,MD,0
1237,2501,Barnstable County,MA,0
1238,2503,Berkshire County,MA,0
1239,2505,Bristol County,MA,1
1240,2507,Dukes County,MA,0
1241,2509,Essex County,MA,0
1242,2511,Franklin County,MA,0
1243,2513,Hampden County,MA,0
1244,2515,Hampshire County,MA,1
1245,2517,Middlesex County,MA,0
1246,2519,Nantucket County,MA,0
1247,2521,Norfolk County,MA,0
1248,2523,Plymouth County,MA,2
1249,2525,Suffolk County,MA,11
1250,2527,Worcester County,MA,1
1251,25999,Massachusetts,MA,0
1252,2601,Alcona County,MI,0
1253,2603,Alger County,MI,0
1254,2605,Allegan County,MI,4
1255,2607,Alpena County,MI,1
1256,2609,Antrim County,MI,1
1257,2611,Arenac County,MI,0
1258,2613,Baraga County,MI,0
1259,2615,Barry County,MI,6
1260,2617,Bay County,MI,4
1261,2619,Benzie County,MI,2
1262,2621,Berrien County,MI,25
1263,2623,Branch County,MI,0
1264,2625,Calhoun County,MI,9
1265,2627,Cass County,MI,10
1266,2629,Charlevoix County,MI,0
1267,2631,Cheboygan County,MI,1
1268,2633,Chippewa County,MI,1
1269,2635,Clare County,MI,0
1270,2637,Clinton County,MI,1
1271,2639,Crawford County,MI,0
1272,2641,Delta County,MI,3
1273,2643,Dickinson County,MI,32
1274,2645,Eaton County,MI,1
1275,2647,Emmet County,MI,0
1276,2649,Genesee County,MI,1
1277,2651,Gladwin County,MI,0
1278,2653,Gogebic County,MI,2
1279,2655,Grand Traverse County,MI,3
1280,2657,Gratiot County,MI,0
1281,2659,Hillsdale County,MI,1
1282,2661,Houghton County,MI,8
1283,2663,Huron County,MI,0
1284,2665,Ingham County,MI,4
1285,2667,Ionia County,MI,0
1286,2669,Iosco County,MI,0
1287,2671,Iron County,MI,1
1288,2673,Isabella County,MI,1
1289,2675,Jackson County,MI,0
1290,2677,Kalamazoo County,MI,38
1291,2679,Kalkaska County,MI,0
1292,2681,Kent County,MI,10
1293,2683,Keweenaw County,MI,0
1294,2685,Lake County,MI,1
1295,2687,Lapeer County,MI,0
1296,2689,Leelanau County,MI,2
1297,2691,Lenawee County,MI,0
1298,2693,Livingston County,MI,0
1299,2695,Luce County,MI,0
1300,2697,Mackinac County,MI,1
1301,2699,Macomb County,MI,8
1302,26101,Manistee County,MI,6
1303,26103,Marquette County,MI,9
1304,26105,Mason County,MI,1
1305,26107,Mecosta County,MI,1
1306,26109,Menominee County,MI,12
1307,26111,Midland County,MI,0
1308,26113,Missaukee County,MI,0
1309,26115,Monroe County,MI,0
1310,26117,Montcalm County,MI,0
1311,26119,Montmorency County,MI,0
1312,26121,Muskegon County,MI,1
1313,26123,Newaygo County,MI,0
1314,26125,Oakland County,MI,14
1315,26127,Oceana County,MI,3
1316,26129,Ogemaw County,MI,0
1317,26131,Ontonagon County,MI,3
1318,26133,Osceola County,MI,0
1319,26135,Oscoda County,MI,1
1320,26137,Otsego County,MI,0
1321,26139,Ottawa County,MI,8
1322,26141,Presque Isle County,MI,0
1323,26143,Roscommon County,MI,0
1324,26145,Saginaw County,MI,1
1325,26147,St. Clair County,MI,1
1326,26149,St. Joseph County,MI,1
1327,26151,Sanilac County,MI,0
1328,26153,Schoolcraft County,MI,0
1329,26155,Shiawassee County,MI,0
1330,26157,Tuscola County,MI,0
1331,26159,Van Buren County,MI,4
1332,26161,Washtenaw County,MI,9
1333,26163,Wayne County,MI,5
1334,26165,Wexford County,MI,0
1335,26999,Michigan,MI,0
1336,2701,Aitkin County,MN,18
1337,2703,Anoka County,MN,94
1338,2705,Becker County,MN,34
1339,2707,Beltrami County,MN,35
1340,2709,Benton County,MN,7
1341,2711,Big Stone County,MN,0
1342,2713,Blue Earth County,MN,5
1343,2715,Brown County,MN,0
1344,2717,Carlton County,MN,33
1345,2719,Carver County,MN,12
1346,2721,Cass County,MN,53
1347,2723,Chippewa County,MN,0
1348,2725,Chisago County,MN,25
1349,2727,Clay County,MN,8
1350,2729,Clearwater County,MN,8
1351,2731,Cook County,MN,1
1352,2733,Cottonwood County,MN,1
1353,2735,Crow Wing County,MN,84
1354,2737,Dakota County,MN,73
1355,2739,Dodge County,MN,1
1356,2741,Douglas County,MN,2
1357,2743,Faribault County,MN,0
1358,2745,Fillmore County,MN,10
1359,2747,Freeborn County,MN,0
1360,2749,Goodhue County,MN,19
1361,2751,Grant County,MN,0
1362,2753,Hennepin County,MN,187
1363,2755,Houston County,MN,11
1364,2757,Hubbard County,MN,41
1365,2759,Isanti County,MN,14
1366,2761,Itasca County,MN,62
1367,2763,Jackson County,MN,0
1368,2765,Kanabec County,MN,13
1369,2767,Kandiyohi County,MN,9
1370,2769,Kittson County,MN,0
1371,2771,Koochiching County,MN,4
1372,2773,Lac qui Parle County,MN,0
1373,2775,Lake County,MN,14
1374,2777,Lake of the Woods County,MN,1
1375,2779,Le Sueur County,MN,1
1376,2781,Lincoln County,MN,0
1377,2783,Lyon County,MN,0
1378,2785,McLeod County,MN,6
1379,2787,Mahnomen County,MN,3
1380,2789,Marshall County,MN,6
1381,2791,Martin County,MN,0
1382,2793,Meeker County,MN,5
1383,2795,Mille Lacs County,MN,14
1384,2797,Morrison County,MN,11
1385,2799,Mower County,MN,2
1386,27101,Murray County,MN,0
1387,27103,Nicollet County,MN,3
1388,27105,Nobles County,MN,0
1389,27107,Norman County,MN,3
1390,27109,Olmsted County,MN,26
1391,27111,Otter Tail County,MN,28
1392,27113,Pennington County,MN,2
1393,27115,Pine County,MN,45
1394,27117,Pipestone County,MN,0
1395,27119,Polk County,MN,7
1396,27121,Pope County,MN,0
1397,27123,Ramsey County,MN,109
1398,27125,Red Lake County,MN,4
1399,27127,Redwood County,MN,0
1400,27129,Renville County,MN,3
1401,27131,Rice County,MN,10
1402,27133,Rock County,MN,0
1403,27135,Roseau County,MN,7
1404,27137,St. Louis County,MN,82
1405,27139,Scott County,MN,22
1406,27141,Sherburne County,MN,42
1407,27143,Sibley County,MN,2
1408,27145,Stearns County,MN,36
1409,27147,Steele County,MN,4
1410,27149,Stevens County,MN,2
1411,27151,Swift County,MN,1
1412,27153,Todd County,MN,12
1413,27155,Traverse County,MN,0
1414,27157,Wabasha County,MN,5
1415,27159,Wadena County,MN,11
1416,27161,Waseca County,MN,2
1417,27163,Washington County,MN,90
1418,27165,Watonwan County,MN,1
1419,27167,Wilkin County,MN,0
1420,27169,Winona County,MN,27
1421,27171,Wright County,MN,28
1422,27173,Yellow Medicine County,MN,0
1423,27999,Minnesota,MN,0
1424,2801,Adams County,MS,0
1425,2803,Alcorn County,MS,0
1426,2805,Amite County,MS,0
1427,2807,Attala County,MS,0
1428,2809,Benton County,MS,0
1429,2811,Bolivar County,MS,0
1430,2813,Calhoun County,MS,0
1431,2815,Carroll County,MS,0
1432,2817,Chickasaw County,MS,0
1433,2819,Choctaw County,MS,0
1434,2821,Claiborne County,MS,0
1435,2823,Clarke County,MS,0
1436,2825,Clay County,MS,0
1437,2827,Coahoma County,MS,0
1438,2829,Copiah County,MS,0
1439,2831,Covington County,MS,0
1440,2833,DeSoto County,MS,0
1441,2835,Forrest County,MS,0
1442,2837,Franklin County,MS,0
1443,2839,George County,MS,0
1444,2841,Greene County,MS,0
1445,2843,Grenada County,MS,0
1446,2845,Hancock County,MS,0
1447,2847,Harrison County,MS,1
1448,2849,Hinds County,MS,0
1449,2851,Holmes County,MS,0
1450,2853,Humphreys County,MS,0
1451,2855,Issaquena County,MS,0
1452,2857,Itawamba County,MS,0
1453,2859,Jackson County,MS,0
1454,2861,Jasper County,MS,0
1455,2863,Jefferson County,MS,0
1456,2865,Jefferson Davis County,MS,1
1457,2867,Jones County,MS,0
1458,2869,Kemper County,MS,0
1459,2871,Lafayette County,MS,0
1460,2873,Lamar County,MS,0
1461,2875,Lauderdale County,MS,0
1462,2877,Lawrence County,MS,0
1463,2879,Leake County,MS,0
1464,2881,Lee County,MS,0
1465,2883,Leflore County,MS,0
1466,2885,Lincoln County,MS,0
1467,2887,Lowndes County,MS,0
1468,2889,Madison County,MS,0
1469,2891,Marion County,MS,0
1470,2893,Marshall County,MS,0
1471,2895,Monroe County,MS,0
1472,2897,Montgomery County,MS,0
1473,2899,Neshoba County,MS,0
1474,28101,Newton County,MS,0
1475,28103,Noxubee County,MS,0
1476,28105,Oktibbeha County,MS,0
1477,28107,Panola County,MS,0
1478,28109,Pearl River County,MS,1
1479,28111,Perry County,MS,0
1480,28113,Pike County,MS,0
1481,28115,Pontotoc County,MS,0
1482,28117,Prentiss County,MS,0
1483,28119,Quitman County,MS,0
1484,28121,Rankin County,MS,0
1485,28123,Scott County,MS,0
1486,28125,Sharkey County,MS,0
1487,28127,Simpson County,MS,0
1488,28129,Smith County,MS,0
1489,28131,Stone County,MS,0
1490,28133,Sunflower County,MS,0
1491,28135,Tallahatchie County,MS,0
1492,28137,Tate County,MS,1
1493,28139,Tippah County,MS,0
1494,28141,Tishomingo County,MS,0
1495,28143,Tunica County,MS,0
1496,28145,Union County,MS,0
1497,28147,Walthall County,MS,0
1498,28149,Warren County,MS,0
1499,28151,Washington County,MS,0
1500,28153,Wayne County,MS,0
1501,28155,Webster County,MS,0
1502,28157,Wilkinson County,MS,0
1503,28159,Winston County,MS,0
1504,28161,Yalobusha County,MS,0
1505,28163,Yazoo County,MS,0
1506,28999,Mississippi,MS,0
1507,2901,Adair County,MO,0
1508,2903,Andrew County,MO,0
1509,2905,Atchison County,MO,0
1510,2907,Audrain County,MO,0
1511,2909,Barry County,MO,0
1512,2911,Barton County,MO,0
1513,2913,Bates County,MO,0
1514,2915,Benton County,MO,0
1515,2917,Bollinger County,MO,0
1516,2919,Boone County,MO,0
1517,2921,Buchanan County,MO,0
1518,2923,Butler County,MO,0
1519,2925,Caldwell County,MO,0
1520,2927,Callaway County,MO,0
1521,2929,Camden County,MO,0
1522,2931,Cape Girardeau County,MO,0
1523,2933,Carroll County,MO,0
1524,2935,Carter County,MO,0
1525,2937,Cass County,MO,0
1526,2939,Cedar County,MO,0
1527,2941,Chariton County,MO,0
1528,2943,Christian County,MO,1
1529,2945,Clark County,MO,0
1530,2947,Clay County,MO,0
1531,2949,Clinton County,MO,0
1532,2951,Cole County,MO,0
1533,2953,Cooper County,MO,0
1534,2955,Crawford County,MO,0
1535,2957,Dade County,MO,0
1536,2959,Dallas County,MO,0
1537,2961,Daviess County,MO,0
1538,2963,DeKalb County,MO,0
1539,2965,Dent County,MO,0
1540,2967,Douglas County,MO,0
1541,2969,Dunklin County,MO,0
1542,2971,Franklin County,MO,1
1543,2973,Gasconade County,MO,0
1544,2975,Gentry County,MO,0
1545,2977,Greene County,MO,0
1546,2979,Grundy County,MO,0
1547,2981,Harrison County,MO,0
1548,2983,Henry County,MO,0
1549,2985,Hickory County,MO,0
1550,2987,Holt County,MO,1
1551,2989,Howard County,MO,0
1552,2991,Howell County,MO,0
1553,2993,Iron County,MO,0
1554,2995,Jackson County,MO,3
1555,2997,Jasper County,MO,0
1556,2999,Jefferson County,MO,0
1557,29101,Johnson County,MO,0
1558,29103,Knox County,MO,0
1559,29105,Laclede County,MO,0
1560,29107,Lafayette County,MO,0
1561,29109,Lawrence County,MO,0
1562,29111,Lewis County,MO,0
1563,29113,Lincoln County,MO,0
1564,29115,Linn County,MO,0
1565,29117,Livingston County,MO,0
1566,29119,McDonald County,MO,0
1567,29121,Macon County,MO,0
1568,29123,Madison County,MO,0
1569,29125,Maries County,MO,0
1570,29127,Marion County,MO,0
1571,29129,Mercer County,MO,0
1572,29131,Miller County,MO,0
1573,29133,Mississippi County,MO,0
1574,29135,Moniteau County,MO,0
1575,29137,Monroe County,MO,0
1576,29139,Montgomery County,MO,0
1577,29141,Morgan County,MO,0
1578,29143,New Madrid County,MO,0
1579,29145,Newton County,MO,0
1580,29147,Nodaway County,MO,1
1581,29149,Oregon County,MO,0
1582,29151,Osage County,MO,0
1583,29153,Ozark County,MO,0
1584,29155,Pemiscot County,MO,0
1585,29157,Perry County,MO,0
1586,29159,Pettis County,MO,1
1587,29161,Phelps County,MO,0
1588,29163,Pike County,MO,0
1589,29165,Platte County,MO,0
1590,29167,Polk County,MO,0
1591,29169,Pulaski County,MO,0
1592,29171,Putnam County,MO,0
1593,29173,Ralls County,MO,0
1594,29175,Randolph County,MO,0
1595,29177,Ray County,MO,0
1596,29179,Reynolds County,MO,0
1597,29181,Ripley County,MO,0
1598,29183,St. Charles County,MO,0
1599,29185,St. Clair County,MO,0
1600,29186,Ste. Genevieve County,MO,0
1601,29187,St. Francois County,MO,0
1602,29189,St. Louis County,MO,2
1603,29195,Saline County,MO,0
1604,29197,Schuyler County,MO,0
1605,29199,Scotland County,MO,0
1606,29201,Scott County,MO,0
1607,29203,Shannon County,MO,0
1608,29205,Shelby County,MO,0
1609,29207,Stoddard County,MO,0
1610,29209,Stone County,MO,0
1611,29211,Sullivan County,MO,0
1612,29213,Taney County,MO,1
1613,29215,Texas County,MO,0
1614,29217,Vernon County,MO,0
1615,29219,Warren County,MO,0
1616,29221,Washington County,MO,0
1617,29223,Wayne County,MO,0
1618,29225,Webster County,MO,0
1619,29227,Worth County,MO,0
1620,29229,Wright County,MO,0
1621,29510,St. Louis city,MO,0
1622,29999,Missouri,MO,0
1623,3001,Beaverhead County,MT,0
1624,3003,Big Horn County,MT,0
1625,3005,Blaine County,MT,0
1626,3007,Broadwater County,MT,0
1627,3009,Carbon County,MT,0
1628,3011,Carter County,MT,0
1629,3013,Cascade County,MT,0
1630,3015,Chouteau County,MT,0
1631,3017,Custer County,MT,0
1632,3019,Daniels County,MT,1
1633,3021,Dawson County,MT,0
1634,3023,Deer Lodge County,MT,0
1635,3025,Fallon County,MT,0
1636,3027,Fergus County,MT,0
1637,3029,Flathead County,MT,2
1638,3031,Gallatin County,MT,0
1639,3033,Garfield County,MT,0
1640,3035,Glacier County,MT,0
1641,3037,Golden Valley County,MT,0
1642,3039,Granite County,MT,0
1643,3041,Hill County,MT,0
1644,3043,Jefferson County,MT,1
1645,3045,Judith Basin County,MT,0
1646,3047,Lake County,MT,0
1647,3049,Lewis and Clark County,MT,0
1648,3051,Liberty County,MT,0
1649,3053,Lincoln County,MT,0
1650,3055,McCone County,MT,0
1651,3057,Madison County,MT,0
1652,3059,Meagher County,MT,0
1653,3061,Mineral County,MT,0
1654,3063,Missoula County,MT,0
1655,3065,Musselshell County,MT,0
1656,3067,Park County,MT,0
1657,3069,Petroleum County,MT,0
1658,3071,Phillips County,MT,0
1659,3073,Pondera County,MT,0
1660,3075,Powder River County,MT,0
1661,3077,Powell County,MT,0
1662,3079,Prairie County,MT,0
1663,3081,Ravalli County,MT,1
1664,3083,Richland County,MT,0
1665,3085,Roosevelt County,MT,0
1666,3087,Rosebud County,MT,0
1667,3089,Sanders County,MT,0
1668,3091,Sheridan County,MT,0
1669,3093,Silver Bow County,MT,0
1670,3095,Stillwater County,MT,0
1671,3097,Sweet Grass County,MT,1
1672,3099,Teton County,MT,0
